"geo_name","Total population","Average age","Median age","Median after-tax income","Average after-tax income","Employment income (%)","Gini index","External migrants 1 year ago","External migrants 5 years ago","LANDAREA"
"G2N",8485,38.5,39.2,41200,42120,77.6,0.2,0,180,13.3945
"G3A",20235,45.1,48.4,45200,52450,69,0.3,25,135,85.7954
"G3B",8315,39.3,42.4,49600,55900,76.2,0.3,55,125,61.734
"G3C",10435,37.7,39.2,44400,46680,78.4,0.2,20,80,671.61
"G3E",16115,37.6,38.8,43200,44280,80,0.2,0,85,8.4509
"G3G",10025,39.4,40.4,39200,40600,74.8,0.2,0,30,33.9882
"G3H",10145,40.6,40.4,39200,41240,75.2,0.2,0,85,121.1154
"G3J",10635,38.1,38,40800,41920,77.4,0.2,15,120,41.281
"G3K",20400,36.1,36.4,42800,43440,81.2,0.2,20,145,29.9346
"G3L",11105,44.7,46.8,34800,37720,70,0.2,20,40,666.2013
"G3M",7435,44.5,44.8,34800,38000,68.2,0.2,65,115,20.1956
"G3N",11115,37.6,37.6,44000,46800,73,0.2,0,30,165.8386
"G3S",6645,32.6,32,48400,46640,81,0.2,0,25,361.4882
"G3Z",7370,50.1,54.8,32000,35360,59.8,0.2,80,165,545.8467
"G4A",3065,47.3,50.8,32800,34920,64.4,0.2,0,15,51.5277
"G4R",20325,42.2,43.2,36400,43720,74,0.3,90,255,26778.6185
"G4S",4935,40.4,40.8,39200,41400,76.6,0.2,0,0,121.9205
"G4T",12655,49.1,54.4,32800,38840,63.4,0.2,20,25,187.3315
"G4V",6290,48.6,53.6,27800,33760,55.8,0.2,15,55,4544.5351
"G4W",13990,48.2,52.4,31000,35120,63,0.3,60,255,195.4893
"G4X",15065,46.5,50.4,34000,37280,63.9,0.2,15,60,2866.9162
"G4Z",9390,45.2,48,39200,42760,70.4,0.2,10,55,42369.1968
"G5A",8285,48.9,54,31600,35120,62.4,0.2,0,55,458.1944
"G5B",5975,42.6,44,38400,45480,77,0.3,0,0,41.1983
"G5C",11390,45.7,49.2,35600,40920,69.2,0.3,0,70,39.7103
"G5H",6975,47.7,52.4,28600,32880,59.5,0.3,0,10,55.2249
"G5J",6010,47.7,52,31000,35200,65,0.3,0,20,192.0236
"G5L",28735,47.6,49.6,30600,35480,60.5,0.3,65,625,62.2922
"G5M",8830,42.4,43.6,39600,42480,70.4,0.2,0,25,18.857
"G5N",8375,42.4,44.4,39600,43560,69.6,0.2,10,35,175.9165
"G5R",20115,46.7,48.4,33200,38240,64.2,0.3,115,380,83.7418
"G5T",2885,49.7,55.2,30000,32000,62.3,0.2,0,15,556.7846
"G5V",11000,48.8,53.2,31000,35400,62,0.3,55,185,124.4443
"G5X",6180,44.4,45.2,33600,35800,66.8,0.2,0,75,164.5911
"G5Y",23085,46,48.4,31600,34960,63.9,0.3,105,490,88.4581
"G5Z",7600,40.8,41.6,36800,40320,72,0.2,0,55,98.8781
"G6A",2545,37.2,39.2,40000,43680,77,0.2,0,35,11.7402
"G6B",8405,47.5,50.8,31200,34760,61.9,0.2,30,120,278.6531
"G6C",7960,39.5,40,39600,41640,77,0.2,40,125,86.0979
"G6E",13110,43.3,44,36800,40000,71.6,0.2,30,225,107.5486
"G6G",20355,50,54.4,30400,34120,61.2,0.3,70,335,200.6784
"G6H",7095,46.5,50,31200,33200,59.7,0.2,0,30,214.2918
"G6J",10625,39.4,40.8,40800,42000,75.6,0.2,40,150,94.3022
"G6K",8235,39.7,41.2,44800,47080,75.8,0.2,0,35,3.6949
"G6L",15290,43.6,44.4,31200,33680,66.8,0.2,105,355,341.1145
"G6P",29575,49.6,54,28600,33000,59.4,0.3,75,430,30.2009
"G6R",4700,39,40.8,37200,41560,70.2,0.2,0,20,18.3115
"G6S",5385,42.9,43.2,35600,40200,67.4,0.2,15,45,62.036
"G6T",11200,38.9,39.2,38400,40600,73.4,0.2,0,65,42.7389
"G6V",32035,48.9,52.4,34400,38360,63.1,0.3,210,930,24.8553
"G6W",25240,45,46.4,38000,42240,69.8,0.2,180,575,23.3304
"G6X",9310,45.1,46,36800,38320,68.2,0.2,70,240,7.9521
"G6Y",7230,39.7,40.4,42800,46160,75.4,0.2,25,95,17.3352
"G6Z",23580,40,42,42800,47640,78,0.2,45,105,95.7585
"G7A",25430,39.9,40.8,44400,48560,76.2,0.2,90,295,94.7399
"G7B",17610,45.5,47.2,34000,37440,67.6,0.2,0,40,264.284
"G7G",16410,43.2,44,35200,38280,69.4,0.2,0,65,33.2581
"G7H",28685,48.1,50.4,32800,39320,62.7,0.3,330,945,129.9502
"G7J",14445,44.2,45.6,33200,37560,69.2,0.3,50,145,16.3521
"G7K",760,45,47.2,37200,41400,68.5,0.2,0,0,11.7827
"G7N",6390,41.5,42.4,42000,45600,74.4,0.2,0,0,1934.1845
"G7P",7420,41.5,42.4,36800,39720,71.8,0.2,0,0,229.0277
"G7S",19810,44.2,45.2,39200,42200,69.2,0.2,10,95,35.932
"G7T",1640,37.1,35.6,44400,46640,77.6,0.2,0,15,3.8322
"G7X",25550,46.5,49.2,30400,34600,63.9,0.3,60,310,277.5392
"G7Y",625,45.4,48.4,37200,39200,65.5,0.2,0,0,33.5472
"G7Z",2640,42.9,45.6,38800,42400,70.8,0.2,0,0,2.3617
"G8A",6035,45.8,46.8,34000,38320,68,0.2,0,35,5.5706
"G8B",22060,46.7,50,32000,36040,63.3,0.3,15,135,104.6696
"G8C",4410,42.1,44,41600,45120,70.8,0.2,0,0,7.5392
"G8E",3840,43.2,44.4,34400,38520,70.2,0.2,0,30,82.7142
"G8G",4120,46.2,49.6,34000,36880,62.8,0.2,0,40,187.4938
"G8H",10040,47.8,52.4,32400,36120,62.8,0.2,20,30,151.3637
"G8J",4260,44.1,46.4,33200,35040,68.8,0.2,20,20,15119.9799
"G8K",10090,45.6,48.4,34000,37200,66,0.2,20,175,361.2722
"G8L",14285,46.9,50.8,31600,35600,64.4,0.3,50,75,16026.119
"G8M",5175,44,45.2,33600,36600,68.4,0.2,15,20,409.2404
"G8N",2510,44.5,46.4,32400,36880,69.6,0.2,0,0,1131.6707
"G8P",7310,40.5,40.8,40400,43480,77.6,0.3,60,160,694.8744
"G8T",27830,48.1,52,28600,31880,59,0.2,40,250,21.7863
"G8V",9955,41.8,44,38000,41320,72.2,0.2,40,100,39.9274
"G8W",11010,45.1,47.2,36800,40920,67.4,0.3,20,160,57.0831
"G8Y",33295,46,48,34000,38760,61,0.3,160,960,23.2219
"G8Z",13970,47.1,45.6,26600,30440,62,0.3,180,955,8.2854
"G9A",20400,47.6,48.4,25200,30040,59,0.3,115,505,37.7682
"G9B",18680,42.7,44,38800,43560,70.6,0.3,0,165,82.8958
"G9C",4020,39.6,40,42400,45320,73.8,0.2,0,35,17.6852
"G9H",13555,43.4,44,35600,38720,67.6,0.2,20,55,439.6729
"G9N",16125,50.2,55.2,25600,30400,55.8,0.3,50,245,37.8763
"G9P",11565,48.5,54,32800,35800,57.7,0.2,0,85,37.3731
"G9R",2325,42,44.4,37200,39680,69.8,0.2,0,25,22.2648
"G9T",15940,50,56,29000,32960,56.6,0.3,25,60,66.1901
"G9X",10610,47.5,51.2,32800,35960,63.8,0.3,0,70,7796.8026
"H1A",33160,44,46,35200,37640,71.2,0.2,110,695,15.165
"H1B",20650,42.6,43.2,32800,34920,70.8,0.2,80,530,13.2671
"H1C",15085,37.8,39.2,37200,40080,80,0.2,15,155,11.0985
