"geo_name","cluster","LANDAREA","Total population","Median age","Average age","Median after-tax income","Average after-tax income","Employment income (%)","Gini index","External migrants 1 year ago","External migrants 5 years ago"
"L7J",2,133.2637,13765,43.6,41.6,40800,45920,78,0.3,15,65
"L7K",2,260.1272,8485,48.4,44.5,39600,50680,70.2,0.3,35,120
"L7L",2,24.6378,47435,42.4,41.5,44800,54050,78.2,0.3,240,1535
"L7M",2,53.8541,48500,41.6,40.7,45200,54650,78.2,0.3,195,1710
"L7N",0,6.5651,13160,48,46,40400,56250,70.4,0.3,55,295
"L7P",2,78.1321,29775,44,43,42800,52650,72.4,0.3,80,680
"L7R",0,5.9362,17335,45.2,45.1,39600,50040,69.4,0.3,150,785
"L7S",0,3.9426,12205,54,50.9,38400,46920,65.6,0.3,45,395
"L7T",0,13.0558,18555,48.8,47,40800,51500,66.6,0.3,120,600
"L8B",2,130.2271,25780,38.4,38.4,45200,51200,79.6,0.3,30,540
"L8E",11,32.8993,41930,41.2,41.4,34400,40440,73.4,0.3,170,1735
"L8G",11,8.8239,21805,50.8,47.8,34800,39520,63.5,0.3,80,360
"L8H",11,15.6287,26185,40,40.7,31800,34680,74.2,0.3,80,580
"L8J",2,71.471,29150,36.8,37.6,38400,42760,78.4,0.3,165,1160
"L8K",11,11.819,32600,42.4,42.9,34000,37600,70.4,0.3,145,950
"L8L",11,13.2307,32310,36.4,38.2,27800,31800,72.4,0.3,130,1390
"L8M",11,3.346,13770,38.4,40.4,30600,35680,73,0.3,65,400
"L8N",12,6.5312,15565,36.8,40.2,28600,33640,73.8,0.3,155,1750
"L8P",12,5.8906,24775,38.8,42.2,32400,41280,71.2,0.4,260,2070
"L8R",12,4.1562,11650,38.4,41.7,26200,32400,72,0.3,195,1195
"L8S",10,17.9287,15785,32.4,39.1,28400,35920,66.8,0.3,370,2355
"L8T",11,6.263,19405,43.6,43.5,35600,39360,67.4,0.3,50,745
"L8V",11,5.5244,21165,44.4,45,32800,35920,68.4,0.2,75,670
"L8W",2,7.052,26080,38.8,39.5,34400,38720,74,0.2,95,815
"L9A",11,7.1852,25900,40.4,41.6,33200,37480,71.8,0.3,175,1305
"L9B",2,13.6175,25025,42.8,42.4,36800,42360,71.4,0.3,105,595
"L9C",11,12.6266,41200,41.2,42.2,34400,39760,69.8,0.3,220,2495
"L9E",3,118.7335,16930,32.4,31.6,39200,43440,82.4,0.3,250,2045
"L9G",2,80.625,25020,44.8,43.1,46800,57750,67.4,0.3,95,645
"L9H",0,62.01,31220,49.6,46.7,42800,52550,67.4,0.3,125,500
"L9J",3,27.2468,2275,36.8,40.8,35600,37760,73.6,0.2,0,130
"L9K",2,7.5933,15925,39.6,39.5,39200,51700,71.6,0.3,215,1040
"L9L",0,236.5082,14620,50.4,46.8,40000,47720,65.8,0.3,15,180
"L9M",4,242.9891,16610,53.2,48.7,33200,39840,59.6,0.3,20,30
"L9N",2,69.0495,21660,38,38.1,37200,44120,80.4,0.3,130,730
"L9P",0,218.119,17380,47.2,44.2,41600,55300,75,0.3,50,125
"L9R",7,103.0616,25950,40.8,41.5,38800,42720,69.2,0.2,65,365
"L9S",7,119.0325,33435,42,41.3,36400,42520,75.4,0.3,95,425
"L9T",2,82.9492,110955,36.4,35.3,40800,46720,83.4,0.2,1150,7015
"L9V",7,818.77,17750,40,39.9,38000,44080,76.6,0.3,50,180
"L9W",2,683.4793,48790,40.4,40.4,39600,46080,77.2,0.3,130,675
"L9X",2,238.2282,12895,42.8,40.4,44000,55650,74.8,0.3,0,60
"L9Y",4,186.0677,28925,52,48.2,36400,48440,59.9,0.3,35,420
"L9Z",4,57.4219,24850,56.4,50.4,32000,37880,57.8,0.3,35,205
"M1B",9,35.3539,65555,39.6,40.8,28800,32760,73.2,0.2,590,4545
"M1C",0,13.8604,35645,44.4,43.3,38000,44960,73.4,0.3,260,1630
"M1E",9,15.8104,48035,41.2,41.7,30200,35680,69.4,0.3,410,3165
"M1G",9,8.9669,30895,36.8,39.2,25200,30080,68.6,0.3,555,3495
"M1H",9,4.4976,23960,38.4,40.8,28600,33080,74.4,0.3,530,2960
"M1J",9,6.56,37005,37.6,39.1,28000,31920,70.2,0.3,375,3925
"M1K",9,8.7101,48175,40.4,40.8,28000,32360,71.6,0.3,635,4235
"M1L",9,8.3321,35830,38.8,39.6,28800,34800,75.8,0.3,480,3460
"M1M",0,9.2167,23260,44.4,43,32000,41480,71.4,0.3,205,1475
"M1N",0,5.9616,22975,44.8,43.2,38800,51550,75.2,0.3,160,830
"M1P",9,11.1723,45170,39.6,41.5,28400,33160,72.8,0.3,720,4255
"M1R",9,10.2393,30470,41.2,41.8,29600,34480,72.6,0.3,305,2830
"M1S",9,12.9636,37660,44.4,44.7,26400,32680,70,0.3,525,3480
"M1T",9,6.1233,34605,44.8,44.8,26800,33360,66.4,0.3,470,3030
"M1V",9,14.2525,50825,45.6,44.7,24000,29920,66.4,0.3,590,3120
"M1W",9,8.3863,47070,48,46,27000,33680,66.4,0.3,655,3640
"M1X",9,7.0091,14810,38.4,39.4,29000,34040,79,0.2,120,660
"M2H",0,7.6546,23395,48,46.4,29800,39120,64.4,0.3,365,2175
"M2J",12,10.1063,61760,38.4,40.9,30200,37120,73.4,0.3,1470,9835
"M2K",1,5.68,25375,40.4,43.7,36000,44800,70.4,0.4,705,3610
"M2L",13,6.1199,11275,46.4,44,40800,120700,42.9,0.5,220,765
"M2M",9,7.5823,31915,44.4,45.1,28600,37840,67.8,0.3,745,4145
"M2N",1,9.5924,75100,38,41.3,33200,44240,75,0.4,2595,11685
"M2P",13,2.868,7545,47.2,44.3,44000,72900,64,0.5,115,675
"M2R",9,7.0468,40580,44.4,44.1,28200,35480,70,0.3,510,4145
"M3A",9,7.437,34365,40.8,41.1,32000,40040,73.8,0.3,480,3150
"M3B",13,7.1507,12880,49.2,45.9,44400,77000,57.4,0.4,240,730
"M3C",9,8.3416,39620,40.4,41.7,29400,37560,68.6,0.3,525,4550
"M3H",0,11.0528,38420,40.8,40.9,34400,48080,74.2,0.4,310,2715
"M3J",9,13.0563,26600,36,39.3,27200,30840,75.2,0.3,395,3805
"M3K",19,6.3491,7865,38.8,40.3,33600,39320,78,0.3,70,845
"M3L",9,5.7104,19265,40.4,40.8,27600,31640,72,0.2,160,1670
"M3M",9,5.0881,24910,41.2,41.4,30400,34000,74.2,0.3,205,1730
"M3N",9,6.6508,40845,38,39.1,25000,28000,67.2,0.3,305,2935
"M4A",9,4.4758,14590,44,44.1,29800,36800,70.4,0.3,85,995
"M4B",0,4.9089,18610,43.2,42.4,32800,42040,73.8,0.3,170,1220
"M4C",17,5.0113,46440,40,40.1,34800,43320,79.4,0.3,535,3830
"M4E",17,3.769,25470,42.8,41.3,48800,68500,82.2,0.4,110,875
"M4G",13,7.1324,19600,44.4,42.6,53200,85600,76.4,0.4,165,930
"M4H",9,1.0874,18695,34,35.6,22800,27360,63.2,0.3,405,2340
"M4J",17,5.325,35130,42,41.5,38400,50360,80.8,0.3,190,1330
"M4K",17,4.3905,30915,43.2,42.9,39600,56900,78.8,0.4,140,1240
"M4L",17,4.3573,32215,40.8,40,44400,57800,81.8,0.4,175,1025
"M4M",17,9.1644,25055,38.8,40.4,42000,55200,84.6,0.4,200,1020
"M4N",13,4.8658,16055,46.8,45.2,54000,147400,56.6,0.6,175,915
"M4P",1,1.441,25060,36.8,40.2,38800,50440,79.6,0.4,665,4310
"M4R",13,1.8541,11910,40.4,40.9,48400,80100,78.2,0.5,140,920
"M4S",1,3.079,30750,38,40.9,45200,59050,81,0.4,820,4585
"M4T",13,1.6713,10330,46.8,46.1,55600,128600,69.8,0.5,110,695
