"Geo Code","Geo Name","Line Number"
"2021A0011J0B","J0B",1281299
"2021A0011J0C","J0C",1283930
"2021A0011J0E","J0E",1286561
"2021A0011J0G","J0G",1289192
"2021A0011J0H","J0H",1291823
"2021A0011J0J","J0J",1294454
"2021A0011J0K","J0K",1297085
"2021A0011J0L","J0L",1299716
"2021A0011J0M","J0M",1302347
"2021A0011J0N","J0N",1304978
"2021A0011J0P","J0P",1307609
"2021A0011J0R","J0R",1310240
"2021A0011J0S","J0S",1312871
"2021A0011J0T","J0T",1315502
"2021A0011J0V","J0V",1318133
"2021A0011J0W","J0W",1320764
"2021A0011J0X","J0X",1323395
"2021A0011J0Y","J0Y",1326026
"2021A0011J0Z","J0Z",1328657
"2021A0011J1A","J1A",1331288
"2021A0011J1C","J1C",1333919
"2021A0011J1E","J1E",1336550
"2021A0011J1G","J1G",1339181
"2021A0011J1H","J1H",1341812
"2021A0011J1J","J1J",1344443
"2021A0011J1K","J1K",1347074
"2021A0011J1L","J1L",1349705
"2021A0011J1M","J1M",1352336
"2021A0011J1N","J1N",1354967
"2021A0011J1R","J1R",1357598
"2021A0011J1S","J1S",1360229
"2021A0011J1T","J1T",1362860
"2021A0011J1X","J1X",1365491
"2021A0011J1Z","J1Z",1368122
"2021A0011J2A","J2A",1370753
"2021A0011J2B","J2B",1373384
"2021A0011J2C","J2C",1376015
"2021A0011J2E","J2E",1378646
"2021A0011J2G","J2G",1381277
"2021A0011J2H","J2H",1383908
"2021A0011J2J","J2J",1386539
"2021A0011J2K","J2K",1389170
"2021A0011J2L","J2L",1391801
"2021A0011J2M","J2M",1394432
"2021A0011J2N","J2N",1397063
"2021A0011J2R","J2R",1399694
"2021A0011J2S","J2S",1402325
"2021A0011J2T","J2T",1404956
"2021A0011J2W","J2W",1407587
"2021A0011J2X","J2X",1410218
"2021A0011J2Y","J2Y",1412849
"2021A0011J3A","J3A",1415480
"2021A0011J3B","J3B",1418111
"2021A0011J3E","J3E",1420742
"2021A0011J3G","J3G",1423373
"2021A0011J3H","J3H",1426004
"2021A0011J3L","J3L",1428635
"2021A0011J3M","J3M",1431266
"2021A0011J3N","J3N",1433897
"2021A0011J3P","J3P",1436528
"2021A0011J3R","J3R",1439159
"2021A0011J3T","J3T",1441790
"2021A0011J3V","J3V",1444421
"2021A0011J3X","J3X",1447052
"2021A0011J3Y","J3Y",1449683
"2021A0011J3Z","J3Z",1452314
"2021A0011J4B","J4B",1454945
"2021A0011J4G","J4G",1457576
"2021A0011J4H","J4H",1460207
"2021A0011J4J","J4J",1462838
"2021A0011J4K","J4K",1465469
"2021A0011J4L","J4L",1468100
"2021A0011J4M","J4M",1470731
"2021A0011J4N","J4N",1473362
"2021A0011J4P","J4P",1475993
"2021A0011J4R","J4R",1478624
"2021A0011J4S","J4S",1481255
"2021A0011J4T","J4T",1483886
"2021A0011J4V","J4V",1486517
"2021A0011J4W","J4W",1489148
"2021A0011J4X","J4X",1491779
"2021A0011J4Y","J4Y",1494410
"2021A0011J4Z","J4Z",1497041
"2021A0011J5A","J5A",1499672
"2021A0011J5B","J5B",1502303
"2021A0011J5C","J5C",1504934
"2021A0011J5J","J5J",1507565
"2021A0011J5K","J5K",1510196
"2021A0011J5L","J5L",1512827
"2021A0011J5M","J5M",1515458
"2021A0011J5N","J5N",1518089
"2021A0011J5R","J5R",1520720
"2021A0011J5T","J5T",1523351
"2021A0011J5V","J5V",1525982
"2021A0011J5W","J5W",1528613
"2021A0011J5X","J5X",1531244
"2021A0011J5Y","J5Y",1533875
"2021A0011J5Z","J5Z",1536506
"2021A0011J6A","J6A",1539137
"2021A0011J6E","J6E",1541768
"2021A0011J6J","J6J",1544399
"2021A0011J6K","J6K",1547030
"2021A0011J6N","J6N",1549661
"2021A0011J6R","J6R",1552292
"2021A0011J6S","J6S",1554923
"2021A0011J6T","J6T",1557554
"2021A0011J6V","J6V",1560185
"2021A0011J6W","J6W",1562816
"2021A0011J6X","J6X",1565447
"2021A0011J6Y","J6Y",1568078
"2021A0011J6Z","J6Z",1570709
"2021A0011J7A","J7A",1573340
"2021A0011J7B","J7B",1575971
"2021A0011J7C","J7C",1578602
"2021A0011J7E","J7E",1581233
"2021A0011J7G","J7G",1583864
"2021A0011J7H","J7H",1586495
"2021A0011J7J","J7J",1589126
"2021A0011J7K","J7K",1591757
"2021A0011J7L","J7L",1594388
"2021A0011J7M","J7M",1597019
"2021A0011J7N","J7N",1599650
"2021A0011J7P","J7P",1602281
"2021A0011J7R","J7R",1604912
"2021A0011J7T","J7T",1607543
"2021A0011J7V","J7V",1610174
"2021A0011J7W","J7W",1612805
"2021A0011J7X","J7X",1615436
"2021A0011J7Y","J7Y",1618067
"2021A0011J7Z","J7Z",1620698
"2021A0011J8A","J8A",1623329
"2021A0011J8B","J8B",1625960
"2021A0011J8C","J8C",1628591
"2021A0011J8E","J8E",1631222
"2021A0011J8G","J8G",1633853
"2021A0011J8H","J8H",1636484
"2021A0011J8L","J8L",1639115
"2021A0011J8M","J8M",1641746
"2021A0011J8N","J8N",1644377
"2021A0011J8P","J8P",1647008
"2021A0011J8R","J8R",1649639
"2021A0011J8T","J8T",1652270
"2021A0011J8V","J8V",1654901
"2021A0011J8X","J8X",1657532
"2021A0011J8Y","J8Y",1660163
"2021A0011J8Z","J8Z",1662794
"2021A0011J9A","J9A",1665425
"2021A0011J9B","J9B",1668056
"2021A0011J9E","J9E",1670687
"2021A0011J9H","J9H",1673318
"2021A0011J9J","J9J",1675949
"2021A0011J9L","J9L",1678580
"2021A0011J9P","J9P",1681211
"2021A0011J9T","J9T",1683842
"2021A0011J9V","J9V",1686473
"2021A0011J9X","J9X",1689104
"2021A0011J9Y","J9Y",1691735
"2021A0011J9Z","J9Z",1694366
"2021A0011K0A","K0A",1696997
"2021A0011K0B","K0B",1699628
"2021A0011K0C","K0C",1702259
"2021A0011K0E","K0E",1704890
"2021A0011K0G","K0G",1707521
"2021A0011K0H","K0H",1710152
"2021A0011K0J","K0J",1712783
"2021A0011K0K","K0K",1715414
"2021A0011K0L","K0L",1718045
"2021A0011K0M","K0M",1720676
"2021A0011K1A","K1A",1723307
"2021A0011K1B","K1B",1725938
"2021A0011K1C","K1C",1728569
"2021A0011K1E","K1E",1731200
"2021A0011K1G","K1G",1733831
"2021A0011K1H","K1H",1736462
"2021A0011K1J","K1J",1739093
"2021A0011K1K","K1K",1741724
"2021A0011K1L","K1L",1744355
"2021A0011K1M","K1M",1746986
"2021A0011K1N","K1N",1749617
"2021A0011K1P","K1P",1752248
"2021A0011K1R","K1R",1754879
"2021A0011K1S","K1S",1757510
"2021A0011K1T","K1T",1760141
"2021A0011K1V","K1V",1762772
"2021A0011K1W","K1W",1765403
"2021A0011K1X","K1X",1768034
"2021A0011K1Y","K1Y",1770665
"2021A0011K1Z","K1Z",1773296
"2021A0011K2A","K2A",1775927
"2021A0011K2B","K2B",1778558
"2021A0011K2C","K2C",1781189
"2021A0011K2E","K2E",1783820
"2021A0011K2G","K2G",1786451
"2021A0011K2H","K2H",1789082
"2021A0011K2J","K2J",1791713
"2021A0011K2K","K2K",1794344
"2021A0011K2L","K2L",1796975
"2021A0011K2M","K2M",1799606
"2021A0011K2P","K2P",1802237
"2021A0011K2R","K2R",1804868
"2021A0011K2S","K2S",1807499
"2021A0011K2T","K2T",1810130
"2021A0011K2V","K2V",1812761
"2021A0011K2W","K2W",1815392
"2021A0011K4A","K4A",1818023
